movie_name,movie_rating,movie_cast
Captain America: The First Avenger,6.9,"Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell"
High Life,6.0,"Robert Pattinson,Juliette Binoche,André Benjamin,Mia Goth"
Night School,5.6,"Kevin Hart,Tiffany Haddish,Rob Riggle,Romany Malco"
Star Wars: The Rise of Skywalker,,"Billie Lourd,Adam Driver,Daisy Ridley,Lupita Nyong'o"
Poms,5.2,"Diane Keaton,Jacki Weaver,Celia Weston,Alisha Boe"
We Have Always Lived in the Castle,5.6,"Taissa Farmiga,Alexandra Daddario,Crispin Glover,Sebastian Stan"
The Sun Is Also a Star,5.6,"Yara Shahidi,Anais Lee,Charles Melton,John Leguizamo"
The Matrix,8.7,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving"
Men in Black: International,6.8,"Tessa Thompson,Chris Hemsworth,Rebecca Ferguson,Emma Thompson"
Deadpool 2,7.8,"Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison"
Child's Play,,"Aubrey Plaza,Mark Hamill,Tim Matheson,Gabriel Bateman"
The Predator,5.4,"Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key"
Green Book,8.3,"Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco"
Iron Man,7.9,"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges"
Black Panther,7.3,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira"
Toy Story 4,,"Keanu Reeves,Christina Hendricks,Tom Hanks,Patricia Arquette"
Life Like,5.2,"Addison Timlin,James D'Arcy,Steven Strait,Drew Van Acker"
Us,7.2,"Lupita Nyong'o,Winston Duke,Elisabeth Moss,Tim Heidecker"
Joker,,"Robert De Niro,Joaquin Phoenix,Zazie Beetz,Bryan Callen"
Maleficent,7.0,"Angelina Jolie,Elle Fanning,Sharlto Copley,Lesley Manville"
Captain America: Civil War,7.8,"Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan"
Iron Sky: The Coming Race,5.1,"Lara Rossi,Vladimir Burlakov,Kit Dale,Julia Dietze"
Guardians of the Galaxy Vol. 2,7.7,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel"
X-Men: Apocalypse,7.0,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult"
Arctic,6.9,"Mads Mikkelsen,Maria Thelma Smáradóttir,Tintrinai Thikhasuk"
Hellboy,5.4,"David Harbour,Milla Jovovich,Ian McShane,Sasha Lane"
The Professor and the Madman,7.4,"Natalie Dormer,Mel Gibson,Sean Penn,Jennifer Ehle"
Snowpiercer,7.1,"Chris Evans,Jamie Bell,Tilda Swinton,Ed Harris"
See You Yesterday,4.9,"Eden Duncan-Smith,Dante Crichlow,Astro,Marsha Stephanie Blake"
Watchmen,7.6,"Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman"
Escape Room,6.4,"Taylor Russell,Logan Miller,Jay Ellis,Tyler Labine"
Hereditary,7.3,"Toni Collette,Milly Shapiro,Gabriel Byrne,Alex Wolff"
The Prodigy,5.9,"Taylor Schilling,Jackson Robert Scott,Peter Mooney,Colm Feore"
A Star Is Born,7.8,"Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg"
The Godfather,9.2,"Marlon Brando,Al Pacino,James Caan,Diane Keaton"
What Men Want,4.9,"Taraji P. Henson,Kristen Ledlow,Josh Brener,Kellan Lutz"
Ant-Man and the Wasp,7.1,"Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins"
